id,question,choice1,choice2,choice3,choice4,solution
1,Tko je naslikao Noćnu stražu?,Vincent van Gogh,Rembrandt van Rijn,Johannes Vermeer,Jan van Eyck,Rembrandt van Rijn
2,Koja od sljedećih zemalja bivše Jugoslavije na službenoj zastavi nema bijelu boju:,Crna Gora,Slovenija,Bosna i Hercegovina,Srbija,Crna Gora
3,"Kako se zvala prva avijatičarka koja je preletjela Atlantski ocean, a koja je nestala iznad Pacifika pri pokušaju leta oko Zemlje 1937. godine?",Amelia Earhart,Alice Munro,Norma Jeane Mortenson,Nina Kraviz,Amelia Earhart
4,Koji je glazbenik dobio Nobelovu nagradu za književnost 2016. godine?,John Lennon,Bob Dylan,David Bowie,Leonard Cohen,Bob Dylan
5,Kako se zovu karte koje se koriste za igranje bele?,Hrvatice,Talijanke,Austrijanke,Mađarice,Mađarice
6,"Miguel de Cervantes Saavedra napisao je roman koji je postao druga najprevođenija knjiga na svijetu, nakon Biblije. O kojem je romanu riječ?",Sto godina samoće,Ljubav u doba kolere,Don Quixote,Ogled o sljepoći,Don Quixote
7,Poznati antiratni roman Kurta Vonneguta zove se:,Klaonica pet,Na zapadu ništa novo,Zbogom oružje,Putovanje onkraj noći,Klaonica pet
8,Zvjezdane staze: Voyager bile su prve Zvjezdane staze koje su na čelu broda imale kapetanicu. Njeno ime je:,Beverly Crusher,Kathryn Janeway,Amanda Grayson,Molly O’Brien,Kathryn Janeway
9,"U serijalu Vodič kroz galaksiju za autostopere Douglasa Adamsa, odgovor na konačno pitanje života, svemira i sveg ostalog je:",40,41,42,43,42
10,Autor kratke priče Crni mačak pokazivao je velik interes za kriptografiju. Taj kriptograf-amater je:,Edgar Allan Poe,Jorge Luis Borges,Henry David Thoreau,Bram Stoker,Edgar Allan Poe
