id,question,choice1,choice2,choice3,choice4,solution
1,Tlak kisika uvijek iznosi manje od:,10% ukupnog atmosferskog tlaka,pnog atmosferskog tlaka,pnog atmosferskog tlaka,pnog atmosferskog tlaka,pnog atmosferskog tlaka
2,Atmosferski tlak na razini mora iznosi:,150 mm Hg,Hg,Hg,Hg,Hg
3,Do smanjenja koncentracije kisika u alveolama dolazi zbog toga što ga razrjeđuju:,ugljični dioksid i vodik, vodena para,i dioksid i vodena para, ugljični dioksid,i dioksid i vodena para
4,"Kad je u zraku mnogo vodene pare, parcijalni tlak kisika može:",pasti za 20 mm Hg,a 10 mm Hg, za 10 mm Hg, za 20 mm Hg,a 10 mm Hg
5,Koliko se drvenastih i zeljastih biljaka smatra korovima (zaokružite najbližu vrijednost)?,više od 2500,više od 3000,više od 3500,više od 4000,više od 3000
6,Na urbanim prostorima se pojavljuju korovima srodne:,rudimentarne biljke,runalne biljke,repaste biljke,ruderalne biljke,ruderalne biljke
7,Za korove je karakteristično da imaju:,"učinkovit korijenski, ali ne i nadzemni sustav","učinkovit nadzemni sustav, ali ne i korijenski",učinkovit korijenski i nadzemni sustav,neučinkovit i korijenski i nadzemni sustav,učinkovit korijenski i nadzemni sustav
8,"Hoće li se biljka nazvati korovom ili ne, ovisi o:",stupnju u kojem crpi resurse od kulturne biljke,njenoj rasprostranjenosti na nekom području,tome je li biljka cilj uzgoja,njenom potencijalu za proliferaciju,tome je li biljka cilj uzgoja
9,Korovi uglavnom pripadaju u skupinu:,autotrofnih biljaka,semitrofnih biljaka,heterotrofnih biljaka,autosomnih biljaka,autotrofnih biljaka
10,Dio okoliša koji su ljudi prilagodili za poljoprivrednu proizvodnju naziva se:,agrocenoza,agrodom,agrosfera,agrotop,agrosfera
11,Talofite su:,parazitske biljke,gljive,alge,drvenaste biljke,alge
12,Korovi mogu biti korisni u:,proizvodnji umjetnih gnojiva,proizvodnji celuloznih vlakana,proizvodnji antihistaminika,proizvodnji prirodnih boja,proizvodnji prirodnih boja
13,Agrofitocenoze su:,biljne zajednice korova i kulturnih biljaka,zajednice kulturnih biljaka i sisavaca koji nastanjuju poljoprivredne površine,zajednice raznovrsnih kulturnih biljaka,zajednice raznovrsnih korova na poljoprivrednim površinama,biljne zajednice korova i kulturnih biljaka
